time,Open,High,Low,Close,Volume
2024-08-08 16:00:00,0.90074,0.90188,0.90072,0.90112,4214
2024-08-08 17:00:00,0.90111,0.90413,0.90107,0.90316,4081
2024-08-08 18:00:00,0.90316,0.90419,0.9027,0.904,3297
2024-08-08 19:00:00,0.90398,0.90456,0.90362,0.90372,2844
2024-08-08 20:00:00,0.9037,0.90481,0.90349,0.90442,2670
2024-08-08 21:00:00,0.90439,0.90523,0.90427,0.90511,2275
2024-08-08 22:00:00,0.90513,0.90513,0.90415,0.90456,2761
2024-08-08 23:00:00,0.90459,0.90537,0.9044,0.90504,1104
2024-08-09 00:00:00,0.90504,0.90536,0.90383,0.90497,311
2024-08-09 01:00:00,0.905,0.90528,0.90468,0.90511,738
2024-08-09 02:00:00,0.90513,0.90577,0.90491,0.90524,1126
2024-08-09 03:00:00,0.90525,0.90537,0.90433,0.90474,2364
2024-08-09 04:00:00,0.90477,0.9056,0.90468,0.90499,2289
2024-08-09 05:00:00,0.90499,0.90641,0.90478,0.9059,2206
2024-08-09 06:00:00,0.90589,0.90596,0.90541,0.90587,1628
2024-08-09 07:00:00,0.90587,0.9063,0.9051,0.9051,1776
2024-08-09 08:00:00,0.9051,0.90569,0.90421,0.90523,2115
2024-08-09 09:00:00,0.9052,0.90615,0.90491,0.90607,2104
2024-08-09 10:00:00,0.90607,0.90639,0.9053,0.90541,2338
2024-08-09 11:00:00,0.90542,0.90576,0.90495,0.905,2145
2024-08-09 12:00:00,0.905,0.90516,0.90402,0.90424,1676
2024-08-09 13:00:00,0.90425,0.90437,0.90335,0.90341,1632
2024-08-09 14:00:00,0.90341,0.90387,0.90298,0.90377,1782
2024-08-09 15:00:00,0.90377,0.90385,0.90259,0.90278,2552
2024-08-09 16:00:00,0.90276,0.90358,0.90243,0.90283,3028
2024-08-09 17:00:00,0.90283,0.90388,0.90274,0.90337,3561
2024-08-09 18:00:00,0.90336,0.90359,0.90239,0.90248,3066
2024-08-09 19:00:00,0.90247,0.90247,0.90189,0.90233,2528
2024-08-09 20:00:00,0.90233,0.90305,0.90218,0.90249,2515
2024-08-09 21:00:00,0.90248,0.9027,0.90219,0.90265,2291
2024-08-09 22:00:00,0.90266,0.90286,0.90248,0.90275,1871
2024-08-09 23:00:00,0.90273,0.90277,0.90203,0.90206,709
2024-08-12 00:00:00,0.902,0.90236,0.90072,0.90235,347
2024-08-12 01:00:00,0.90233,0.9031,0.90172,0.903,917
2024-08-12 02:00:00,0.903,0.90317,0.90208,0.90211,947
2024-08-12 03:00:00,0.90212,0.90396,0.90212,0.90341,1596
2024-08-12 04:00:00,0.9034,0.90441,0.90337,0.90396,1958
2024-08-12 05:00:00,0.90395,0.90441,0.90386,0.90418,1427
2024-08-12 06:00:00,0.90418,0.90465,0.90401,0.90418,1082
2024-08-12 07:00:00,0.90417,0.90428,0.90374,0.90399,1005
2024-08-12 08:00:00,0.90398,0.90425,0.90317,0.90366,1333
2024-08-12 09:00:00,0.90367,0.90443,0.90356,0.9041,1668
2024-08-12 10:00:00,0.90409,0.90561,0.90338,0.90545,1787
2024-08-12 11:00:00,0.90543,0.90564,0.90473,0.90515,1645
2024-08-12 12:00:00,0.90513,0.90565,0.9048,0.90526,1243
2024-08-12 13:00:00,0.90526,0.90574,0.90521,0.90534,1279
2024-08-12 14:00:00,0.90536,0.90591,0.90523,0.90556,1425
2024-08-12 15:00:00,0.90556,0.90606,0.90536,0.90556,1913
2024-08-12 16:00:00,0.90556,0.90624,0.90528,0.90575,2814
2024-08-12 17:00:00,0.90577,0.90707,0.90566,0.90652,3244
2024-08-12 18:00:00,0.9065,0.9069,0.90534,0.90598,3231
2024-08-12 19:00:00,0.90597,0.90601,0.90474,0.90495,2443
2024-08-12 20:00:00,0.90496,0.90539,0.90455,0.90477,2444
2024-08-12 21:00:00,0.90479,0.90505,0.90455,0.90479,2044
2024-08-12 22:00:00,0.90479,0.90514,0.90474,0.90509,2134
2024-08-12 23:00:00,0.9051,0.9052,0.90469,0.90496,939
2024-08-13 00:00:00,0.90443,0.90487,0.90427,0.90485,217
2024-08-13 01:00:00,0.90485,0.9052,0.90471,0.90505,664
2024-08-13 02:00:00,0.90507,0.90511,0.9047,0.90476,693
2024-08-13 03:00:00,0.90478,0.90505,0.90427,0.90492,1565
2024-08-13 04:00:00,0.90492,0.90589,0.90429,0.9056,1936
2024-08-13 05:00:00,0.9056,0.90587,0.90488,0.90554,1524
2024-08-13 06:00:00,0.90557,0.9062,0.90536,0.90568,1377
2024-08-13 07:00:00,0.90567,0.9065,0.90567,0.90588,1328
2024-08-13 08:00:00,0.90589,0.90597,0.9054,0.90573,1271
2024-08-13 09:00:00,0.90577,0.90645,0.90505,0.906,1746
2024-08-13 10:00:00,0.90603,0.90701,0.90595,0.9069,1908
2024-08-13 11:00:00,0.9069,0.90713,0.90657,0.90672,1526
2024-08-13 12:00:00,0.9067,0.9068,0.906,0.90664,1636
2024-08-13 13:00:00,0.90663,0.90694,0.90569,0.90588,1561
2024-08-13 14:00:00,0.90587,0.90626,0.90547,0.90565,1733
2024-08-13 15:00:00,0.90563,0.90738,0.90538,0.90695,2916
2024-08-13 16:00:00,0.90695,0.90833,0.90556,0.90777,3415
2024-08-13 17:00:00,0.90777,0.9078,0.90633,0.90689,3171
2024-08-13 18:00:00,0.9069,0.90721,0.90642,0.90714,2827
2024-08-13 19:00:00,0.90714,0.90895,0.907,0.90869,2523
2024-08-13 20:00:00,0.90871,0.90892,0.90793,0.90842,2284
2024-08-13 21:00:00,0.90844,0.90983,0.90841,0.90981,2487
2024-08-13 22:00:00,0.90982,0.90993,0.90942,0.90961,2281
2024-08-13 23:00:00,0.90959,0.9097,0.90822,0.90836,1013
2024-08-14 00:00:00,0.90834,0.9091,0.90694,0.9085,352
2024-08-14 01:00:00,0.90848,0.90946,0.90848,0.90934,558
2024-08-14 02:00:00,0.90934,0.90997,0.90925,0.90986,770
2024-08-14 03:00:00,0.90988,0.91033,0.90935,0.91027,1850
2024-08-14 04:00:00,0.91025,0.91044,0.90942,0.90974,2221
2024-08-14 05:00:00,0.90961,0.91,0.90729,0.90884,3044
2024-08-14 06:00:00,0.90888,0.90909,0.90786,0.9085,2315
2024-08-14 07:00:00,0.9085,0.90899,0.90836,0.90861,1425
2024-08-14 08:00:00,0.90861,0.9104,0.90829,0.90968,1465
2024-08-14 09:00:00,0.90969,0.91007,0.90877,0.90979,2040
2024-08-14 10:00:00,0.90979,0.91044,0.90925,0.90929,1651
2024-08-14 11:00:00,0.90929,0.90954,0.90808,0.90886,1775
2024-08-14 12:00:00,0.90888,0.9095,0.90877,0.90901,1233
2024-08-14 13:00:00,0.909,0.90911,0.90792,0.90891,1261
2024-08-14 14:00:00,0.90891,0.90892,0.90804,0.90853,1510
2024-08-14 15:00:00,0.90853,0.91012,0.90714,0.90846,3238
2024-08-14 16:00:00,0.90843,0.90926,0.90657,0.90665,3561
2024-08-14 17:00:00,0.90665,0.90665,0.90546,0.90652,3311
2024-08-14 18:00:00,0.90651,0.90687,0.90543,0.90585,2504
2024-08-14 19:00:00,0.90585,0.90592,0.90517,0.90578,2473
2024-08-14 20:00:00,0.90578,0.90606,0.9053,0.90544,2069
2024-08-14 21:00:00,0.90545,0.90547,0.90493,0.90537,1961
2024-08-14 22:00:00,0.90534,0.90545,0.90471,0.90484,2069
2024-08-14 23:00:00,0.9048,0.90525,0.90436,0.90512,1171
2024-08-15 00:00:00,0.90489,0.90506,0.90348,0.90384,308
2024-08-15 01:00:00,0.90376,0.90504,0.90376,0.905,550
2024-08-15 02:00:00,0.90499,0.90505,0.90405,0.9048,957
2024-08-15 03:00:00,0.90482,0.90497,0.90362,0.90364,1522
2024-08-15 04:00:00,0.90365,0.90703,0.90145,0.90656,3014
2024-08-15 05:00:00,0.90657,0.9077,0.90607,0.90757,2268
2024-08-15 06:00:00,0.90757,0.90804,0.90726,0.90759,1471
2024-08-15 07:00:00,0.90759,0.90846,0.90754,0.9081,1167
2024-08-15 08:00:00,0.9081,0.9081,0.90732,0.90747,1002
2024-08-15 09:00:00,0.90743,0.90792,0.9069,0.90709,1426
2024-08-15 10:00:00,0.90708,0.90758,0.90687,0.90757,1367
2024-08-15 11:00:00,0.90758,0.90772,0.90692,0.90692,1429
2024-08-15 12:00:00,0.90691,0.90783,0.90677,0.90776,1210
2024-08-15 13:00:00,0.90777,0.90839,0.90775,0.90807,1287
2024-08-15 14:00:00,0.90808,0.90882,0.90805,0.90835,1354
2024-08-15 15:00:00,0.90837,0.90844,0.90634,0.9068,3104
2024-08-15 16:00:00,0.9068,0.90756,0.90589,0.90745,3849
2024-08-15 17:00:00,0.9072,0.90839,0.9069,0.90811,3507
2024-08-15 18:00:00,0.9081,0.9085,0.9078,0.90806,2599
2024-08-15 19:00:00,0.90806,0.90872,0.90794,0.90796,1824
2024-08-15 20:00:00,0.90797,0.9081,0.90743,0.90773,1732
2024-08-15 21:00:00,0.90774,0.90796,0.90744,0.90769,1808
2024-08-15 22:00:00,0.90769,0.90787,0.90739,0.90779,1634
2024-08-15 23:00:00,0.90779,0.90803,0.90723,0.90779,1046
2024-08-16 00:00:00,0.90745,0.90768,0.90692,0.90743,164
2024-08-16 01:00:00,0.90737,0.90778,0.90717,0.9075,497
2024-08-16 02:00:00,0.90749,0.90806,0.90749,0.90798,693
2024-08-16 03:00:00,0.90798,0.90838,0.90774,0.90809,1680
2024-08-16 04:00:00,0.90809,0.90929,0.90792,0.9092,1929
2024-08-16 05:00:00,0.9092,0.90937,0.90877,0.9091,1224
2024-08-16 06:00:00,0.9091,0.90927,0.90863,0.90907,1101
2024-08-16 07:00:00,0.90906,0.90934,0.90888,0.9093,880
2024-08-16 08:00:00,0.9093,0.91023,0.90913,0.90958,1168
2024-08-16 09:00:00,0.90954,0.91034,0.90926,0.91019,1492
2024-08-16 10:00:00,0.91018,0.9103,0.90945,0.91026,1555
2024-08-16 11:00:00,0.91025,0.91031,0.90947,0.90997,1468
2024-08-16 12:00:00,0.90995,0.91082,0.90993,0.91037,1190
2024-08-16 13:00:00,0.91038,0.91086,0.90999,0.91045,1432
2024-08-16 14:00:00,0.91039,0.9107,0.90992,0.91059,1773
2024-08-16 15:00:00,0.91056,0.91067,0.9093,0.90946,2121
2024-08-16 16:00:00,0.90947,0.91016,0.90913,0.90949,2704
2024-08-16 17:00:00,0.90938,0.91049,0.90907,0.91017,3392
2024-08-16 18:00:00,0.91014,0.91113,0.90972,0.91111,2207
2024-08-16 19:00:00,0.91109,0.91174,0.91091,0.91145,1651
2024-08-16 20:00:00,0.91146,0.91231,0.91134,0.91213,1553
2024-08-16 21:00:00,0.91211,0.91297,0.91196,0.91291,1503
2024-08-16 22:00:00,0.91294,0.9131,0.91235,0.91249,1386
2024-08-16 23:00:00,0.91246,0.91269,0.91203,0.91212,711
2024-08-19 00:00:00,0.91203,0.91203,0.9085,0.91174,255
2024-08-19 01:00:00,0.91168,0.91294,0.91165,0.91261,819
2024-08-19 02:00:00,0.91262,0.91296,0.91254,0.9126,647
2024-08-19 03:00:00,0.9126,0.91393,0.91254,0.9132,1724
2024-08-19 04:00:00,0.91322,0.9137,0.91275,0.91313,1979
2024-08-19 05:00:00,0.91312,0.91369,0.91252,0.91341,1212
2024-08-19 06:00:00,0.91339,0.91472,0.91335,0.91409,1594
2024-08-19 07:00:00,0.91409,0.91429,0.91313,0.9137,1589
2024-08-19 08:00:00,0.9137,0.91406,0.91253,0.91335,1734
2024-08-19 09:00:00,0.91338,0.91443,0.913,0.91417,1931
2024-08-19 10:00:00,0.91417,0.91443,0.91364,0.91439,1902
2024-08-19 11:00:00,0.9144,0.91459,0.914,0.91445,1635
2024-08-19 12:00:00,0.91445,0.91476,0.91404,0.91468,1389
2024-08-19 13:00:00,0.91469,0.91542,0.91459,0.91526,1110
2024-08-19 14:00:00,0.91526,0.91602,0.91526,0.91591,1331
2024-08-19 15:00:00,0.9159,0.91592,0.91518,0.91549,1587
2024-08-19 16:00:00,0.91549,0.9158,0.91519,0.91536,2091
2024-08-19 17:00:00,0.91537,0.91646,0.91505,0.91629,3016
2024-08-19 18:00:00,0.91628,0.91704,0.91611,0.91701,2531
2024-08-19 19:00:00,0.91701,0.91742,0.91673,0.91712,1826
2024-08-19 20:00:00,0.91711,0.91767,0.91684,0.91761,1580
2024-08-19 21:00:00,0.91761,0.91801,0.91744,0.91744,1571
2024-08-19 22:00:00,0.91747,0.91801,0.91742,0.91785,1394
2024-08-19 23:00:00,0.91787,0.91799,0.91736,0.9174,873
2024-08-20 00:00:00,0.91744,0.9177,0.9166,0.91759,311
2024-08-20 01:00:00,0.91735,0.91791,0.91735,0.91778,411
2024-08-20 02:00:00,0.91777,0.91836,0.91763,0.91782,769
2024-08-20 03:00:00,0.91781,0.91803,0.91671,0.91705,1634
2024-08-20 04:00:00,0.91708,0.91788,0.91657,0.91683,2084
2024-08-20 05:00:00,0.91684,0.91715,0.91564,0.91641,1663
2024-08-20 06:00:00,0.91641,0.91657,0.9155,0.91619,1241
2024-08-20 07:00:00,0.9162,0.9163,0.91558,0.916,1034
2024-08-20 08:00:00,0.916,0.91622,0.91558,0.91597,879
2024-08-20 09:00:00,0.91597,0.91726,0.91597,0.91686,1475
2024-08-20 10:00:00,0.91686,0.91726,0.91543,0.91595,1847
2024-08-20 11:00:00,0.91595,0.91648,0.91579,0.91604,2090
2024-08-20 12:00:00,0.91603,0.91656,0.91597,0.91612,1452
2024-08-20 13:00:00,0.91614,0.91645,0.91597,0.91613,1210
2024-08-20 14:00:00,0.91614,0.91678,0.91602,0.91664,1260
2024-08-20 15:00:00,0.91665,0.91821,0.91642,0.91813,2211
2024-08-20 16:00:00,0.9181,0.91886,0.91756,0.91866,2871
2024-08-20 17:00:00,0.91865,0.91956,0.91832,0.9191,3245
2024-08-20 18:00:00,0.91907,0.91937,0.91837,0.91861,2637
2024-08-20 19:00:00,0.9186,0.91888,0.91798,0.9181,1988
2024-08-20 20:00:00,0.91811,0.91827,0.91763,0.91825,1719
2024-08-20 21:00:00,0.91824,0.91912,0.91824,0.91881,1707
2024-08-20 22:00:00,0.91882,0.91907,0.91868,0.91893,1662
2024-08-20 23:00:00,0.91897,0.91908,0.91841,0.91864,1002
2024-08-21 00:00:00,0.91853,0.91862,0.91793,0.91843,583
2024-08-21 01:00:00,0.91841,0.91874,0.91836,0.91848,504
2024-08-21 02:00:00,0.91849,0.91868,0.91824,0.91854,695
2024-08-21 03:00:00,0.91855,0.91932,0.91845,0.91905,1485
